City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,75.6,few clouds,-23.1203,-134.9692,People ThankYou
1,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
2,Puerto Ayora,EC,78.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
4,Kanchanaburi,TH,75.7,overcast clouds,14.6333,99.1,แพบุญศรี
5,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
12,Conde,BR,78.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
13,Hithadhoo,MV,82.8,clear sky,-0.6,73.0833,Scoop Guest House
14,Kapaa,US,80.58,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Faanui,PF,82.2,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
17,Kahului,US,76.84,broken clouds,20.8947,-156.47,Maui Seaside Hotel
23,Atuona,PF,79.03,broken clouds,-9.8,-139.0333,Villa Enata
31,Luganville,VU,78.44,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
32,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
33,Puerto Escondido,MX,78.19,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
35,Carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
43,Salalah,OM,78.4,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
44,Sola,VU,81.27,light intensity shower rain,-13.8833,167.55,Leumerus Bungalows
46,Busselton,AU,76.53,broken clouds,-33.65,115.3333,Observatory Guest House
53,Sinnamary,GF,76.87,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
63,Ormara,PK,76.93,clear sky,25.2088,64.6357,Kenara Colony house for Rent
68,Samarai,PG,82.18,heavy intensity rain,-10.6167,150.6667,Nuli Sapi
71,Mahebourg,MU,76.24,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
72,Noumea,NC,87.78,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
73,Mamonit,PH,84.11,overcast clouds,15.5859,120.3972,Rictans
79,Hilo,US,76.73,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
89,Arraial Do Cabo,BR,75.27,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
90,Chabahar,IR,77.25,clear sky,25.2919,60.643,هتل گدروشیا
99,Mackay,AU,86.68,few clouds,-21.15,149.2,International Lodge Motel
101,Geraldton,AU,79.21,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
110,Luanda,AO,77.25,light rain,-8.8368,13.2343,EPIC SANA Luanda
116,Kualakapuas,ID,79.03,broken clouds,-3.0091,114.3876,Guest House Izonk
121,Kieta,PG,77.77,light rain,-6.2167,155.6333,Uruna Bay Retreat
125,Auki,SB,81.75,light rain,-8.7676,160.7034,Auki Motel
