City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,75.6,61,11,11.05,few clouds
1,Georgetown,MY,5.4112,100.3354,82.33,93,20,3.44,few clouds
2,Puerto Ayora,EC,-0.7393,-90.3518,78.55,96,26,1.01,scattered clouds
3,Barrow,US,71.2906,-156.7887,-7.92,93,6,17.27,clear sky
4,Kanchanaburi,TH,14.6333,99.1,75.7,71,99,7.61,overcast clouds
5,Vaini,TO,-21.2,-175.2,84.36,79,75,4.61,broken clouds
6,Wagga Wagga,AU,-35.1167,147.3667,60.85,82,100,10.36,light rain
7,Mataura,NZ,-46.1927,168.8643,62.29,54,6,6.78,clear sky
8,Castro,BR,-24.7911,-50.0119,54.64,98,100,5.55,overcast clouds
9,Port Alfred,ZA,-33.5906,26.891,62.19,97,100,8.14,overcast clouds
10,Boyabat,TR,41.4689,34.7667,56.07,58,29,0.6,scattered clouds
11,Jamestown,US,42.097,-79.2353,32.02,65,100,13.8,overcast clouds
12,Conde,BR,-7.2597,-34.9075,78.26,89,40,3.44,scattered clouds
13,Hithadhoo,MV,-0.6,73.0833,82.8,71,3,8.43,clear sky
14,Kapaa,US,22.0752,-159.319,80.58,95,32,4.0,moderate rain
15,Faanui,PF,-16.4833,-151.75,82.2,68,100,1.16,overcast clouds
16,Kamaishi,JP,39.2667,141.8833,41.67,43,3,3.96,clear sky
17,Kahului,US,20.8947,-156.47,76.84,80,59,14.0,broken clouds
18,Ribeira Grande,PT,38.5167,-28.7,56.98,75,16,18.54,few clouds
19,Sitka,US,57.0531,-135.33,42.69,70,100,12.66,overcast clouds
20,Camiri,BO,-20.05,-63.5167,52.3,65,2,0.94,clear sky
21,Mechanicsville,US,37.6088,-77.3733,51.28,44,0,4.0,clear sky
22,Guaruja,BR,-23.9931,-46.2564,69.89,26,100,1.99,overcast clouds
23,Atuona,PF,-9.8,-139.0333,79.03,74,56,6.08,broken clouds
24,San Cristobal,VE,7.7669,-72.225,73.58,67,95,2.48,overcast clouds
25,Ponta Do Sol,PT,32.6667,-17.1,63.01,85,100,0.47,overcast clouds
26,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,70,0,5.75,clear sky
27,Albany,US,42.6001,-73.9662,37.58,67,100,3.0,overcast clouds
28,Tadine,NC,-21.55,167.8833,83.39,78,100,13.58,overcast clouds
29,Cape Town,ZA,-33.9258,18.4232,64.27,68,0,19.57,clear sky
30,Senador Jose Porfirio,BR,-2.5908,-51.9542,74.34,97,51,2.66,broken clouds
31,Luganville,VU,-15.5333,167.1667,78.44,90,100,11.43,overcast clouds
32,Avarua,CK,-21.2078,-159.775,84.25,74,75,6.91,broken clouds
33,Puerto Escondido,MX,15.85,-97.0667,78.19,64,1,3.62,clear sky
34,Imperia,IT,43.9667,7.7833,41.09,52,40,6.2,scattered clouds
35,Carnarvon,AU,-24.8667,113.6333,77.07,94,40,9.22,scattered clouds
36,Moyobamba,PE,-6.05,-76.9667,65.1,99,100,1.01,overcast clouds
37,Port Hardy,CA,50.6996,-127.4199,44.78,87,75,10.36,light intensity shower rain
38,Thompson,CA,55.7435,-97.8558,21.36,79,100,11.5,overcast clouds
39,Bluff,NZ,-46.6,168.3333,58.95,73,90,17.69,overcast clouds
40,Bethel,US,41.3712,-73.414,44.69,64,20,10.36,few clouds
41,Ushuaia,AR,-54.8,-68.3,40.66,75,20,6.91,few clouds
42,Asau,RO,46.4333,26.4,51.96,79,100,4.7,overcast clouds
43,Salalah,OM,17.0151,54.0924,78.4,39,0,2.28,clear sky
44,Sola,VU,-13.8833,167.55,81.27,78,100,4.61,light intensity shower rain
45,Kabompo,ZM,-13.5927,24.2008,61.18,97,1,4.63,clear sky
46,Busselton,AU,-33.65,115.3333,76.53,60,59,9.46,broken clouds
47,Shingu,JP,33.7333,135.9833,50.68,47,100,4.38,overcast clouds
48,Cidreira,BR,-30.1811,-50.2056,63.03,68,8,4.43,clear sky
49,Guerrero Negro,MX,27.9769,-114.0611,62.65,64,0,14.94,clear sky
50,Talnakh,RU,69.4865,88.3972,6.21,95,100,6.35,light snow
51,Yellowknife,CA,62.456,-114.3525,1.29,50,20,0.0,few clouds
52,Narsaq,GL,60.9167,-46.05,38.1,66,99,7.07,overcast clouds
53,Sinnamary,GF,5.3833,-52.95,76.87,90,89,9.6,overcast clouds
